aid,1,2,3,4,5
a1947_001,a1994_001,a1962_010,a1961_032,a1962_013,a2002_026
a1947_003,a1996_022,a2001_007,a2003_016,a1960_103,a1965_010
a1947_006,a1962_010,a2002_026,a2003_012,a1999_046,a1999_045
a1948_001,a2001_003,a1999_046,a2003_012,a2001_001,a1999_045
a1949_001,a1998_014,a1957_017,a1984_002,a2000_002,a1957_002
a1949_002,a1975_006,a1998_009,a1998_013,a1967_017,a1980_005
a1952_014,a1983_004,a1975_007,a2002_013,a1999_04,a2001_003
a1953_001,a1975_007,a1960_103,a1966_003,a2002_013,a2001_003
a1953_003,a1975_007,a2001_003,a1960_103,a1999_04,a2002_013
a1953_004,a1980_005,a2001_021,a1998_013,a1983_005,a1980_014
a1954_002,a1998_011,a1998_003,a1975_003,a1990_007,a1964_002
a1954_003,a2001_003,a1960_103,a2001_001,a1965_006,a1983_004
a1954_004,a1966_003,a1975_007,a2002_013,a1959_021,a2001_006
a1954_005,a1960_103,a1975_007,a2001_003,a2002_013,a1999_04
a1954_008,a1975_007,a1999_04,a2001_006,a2002_013,a1999_002
a1954_009,a1966_003,a2001_006,a1975_007,a1977_011,a1962_050
a1954_010,a1966_003,a2002_013,a1975_007,a1960_103,a1983_004
a1955_002,a1967_006,a1975_003,a1966_034,a1975_012,a1998_011
a1955_004,a1975_003,a1967_006,a1990_007,a1975_013,a1975_012
a1955_006,a1975_005,a1975_009,a1965_027,a1994_009,a1975_001
a1955_007,a1996_016,a1975_001,a1965_027,a1999_040,a1975_005
a1956_002,a1967_006,a1975_003,a1990_007,a1998_004,a1964_002
a1957_001,a1980_004,a1964_015,a2001_018,a1996_004,a1981_020
a1957_002,a1965_001,a1992_007,a1958_001,a1998_001,a1998_003
a1957_003,a1980_004,a1957_001,a1998_015,a1992_007,a1967_005
a1957_004,a1981_020,a1965_027,a1980_004,a1999_036,a1998_007
a1957_007,a1996_004,a1981_020,a1980_004,a1999_036,a2001_018
a1957_010,a1958_027,a1958_012,a1974_009,a2002_016,a1999_022
a1957_011,a2002_001,a1975_007,a1959_021,a1999_04,a1985_017
a1957_012,a1967_006,a1975_013,a1990_007,a1967_017,a1964_002
a1957_013,a1995_017,a1998_011,a1958_007,a1998_010,a1980_017
a1957_017,a1958_007,a1998_011,a1998_001,a1990_007,a1998_003
a1958_001,a1998_007,a1998_001,a1998_003,a1975_003,a1959_010
a1958_004,a1988_008,a1980_010,a1993_001,a1997_022,a2001_011
